日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2020/7/13,'600028,中国石化,4.17,4.18,4.12,4.13,4.13,0.04,0.9685,0.2522,241002124,1000134275,5.05E+11,398475905262.00 
2020/7/10,'600028,中国石化,4.13,4.2,4.12,4.2,4.23,-0.1,-2.3641,0.2273,217219229,904005565,5.00E+11,394653594420.00 
2020/7/9,'600028,中国石化,4.23,4.25,4.17,4.2,4.21,0.02,0.4751,0.2845,271902156,1144425389,5.12E+11,404209371525.00 
2020/7/8,'600028,中国石化,4.21,4.22,4.13,4.21,4.23,-0.02,-0.4728,0.3025,289021034,1208846583,5.10E+11,402298216104.00 
2020/7/7,'600028,中国石化,4.23,4.36,4.23,4.31,4.27,-0.04,-0.9368,0.4397,420182152,1795385365,5.12E+11,404209371525.00 
2020/7/6,'600028,中国石化,4.27,4.29,4.11,4.11,4.08,0.19,4.6569,0.4435,423753375,1782946878,5.17E+11,408031682366.00 
2020/7/3,'600028,中国石化,4.08,4.09,3.99,4,4.01,0.07,1.7456,0.2377,227156318,921785714,4.94E+11,389875705868.00 
2020/7/2,'600028,中国石化,4.01,4.02,3.91,3.92,3.93,0.08,2.0356,0.2218,211938640,840966061,4.85E+11,383186661894.00 
2020/7/1,'600028,中国石化,3.93,3.94,3.9,3.92,3.91,0.02,0.5115,0.1026,98015525,383890791,4.76E+11,375542040211.00 
2020/6/30,'600028,中国石化,3.91,3.94,3.91,3.93,3.92,-0.01,-0.2551,0.0708,67638235,265272481,4.73E+11,373630884790.00 
2020/6/29,'600028,中国石化,3.92,3.96,3.9,3.96,3.97,-0.05,-1.2594,0.1541,147280011,578206507,4.75E+11,374586462500.00 
2020/6/24,'600028,中国石化,3.97,3.98,3.96,3.96,3.97,0,0,0.0776,74132374,294256843,4.81E+11,379364351053.00 
2020/6/23,'600028,中国石化,3.97,4,3.96,3.99,3.99,-0.02,-0.5013,0.0954,91196222,362569197,4.81E+11,379364351053.00 
2020/6/22,'600028,中国石化,3.99,4.02,3.99,4.01,4.01,-0.02,-0.4988,0.0902,86156481,345188337,4.83E+11,381275506474.00 
2020/6/19,'600028,中国石化,4.01,4.03,4,4.01,4.01,0,0,0.1006,96098272,385501579,4.85E+11,383186661894.00 
