complaint_id,complaint_brand,complaint_model,complaint_type,complaint_desc,complaint_problem,complaint_time,complaint_status
524298,奇瑞汽车,瑞虎3x,2017款 1.5L 自动 时尚版,奇瑞瑞虎3x事故车维修后防冻液水壶爆炸,"A191,",2020-09-20,信息审核
524295,沃尔沃亚太,沃尔沃S90,2020款 T5 智逸豪华版,亚太沃尔沃S90发动机舱内有异响方向盘抖动	,"A9,D80,",2020-09-20,信息审核
524294,东风本田,本田CR-V,2019款 240TURBO CVT 两驱 舒适版 国V,东风本田CR-V经销商违规收取续保押金,"K309,",2020-09-20,信息审核
524291,广汽本田,缤智,2017款 1.5L CVT 两驱 舒适型,广汽本田缤智变速箱电磁阀故障希望厂家处理,"B84,",2020-09-20,信息审核
524288,BEIJING汽车,绅宝X55,2016款 1.5T CVT 精英版,BEIJING绅宝X55变速箱故障灯亮无法行驶,"B96,B334,",2020-09-20,信息审核
524286,广汽丰田,凯美瑞,2008款 200G 2.0 自动 豪华版,广汽丰田凯美瑞仪表台有脱皮开裂的现象,"H176,",2020-09-20,信息审核
524284,北汽新能源,EV系列,2014款 E150 EV 科技版,北汽新能源EV系列动力电池故障4S店不保修,"H343,J300,",2020-09-20,信息审核
524283,长安汽车,长安CS35,2017款 1.6L 自动 豪华型,长安CS35发动机盖和叶子板漆面开裂而且生锈,"H79,H81,",2020-09-20,信息审核
524281,长安铃木,维特拉,2016款 1.4T 手动 两驱 豪华型,长安铃木维特拉行驶过程中方向盘卡顿有异响,"D59,D123,",2020-09-20,信息审核
524274,上汽大众,朗逸,2017款 230TSI 双离合 舒适版,上汽大众朗逸韩泰轮胎全部出现开裂,"F100,",2020-09-20,信息审核
524271,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾轮胎韩泰开裂影响驾驶安全,"F100,",2020-09-20,信息审核
524267,东风雪铁龙,雪铁龙C4L,2013款 1.8L 自动 劲智版,东风雪铁龙C4L方向盘晃动严重希望厂家处理,"D265,",2020-09-20,信息审核
524263,一汽-大众,迈腾,2017款 330TSI DSG 领先型,一汽大众迈腾车身漆面有爆漆的现象,"H81,",2020-09-20,信息审核
524261,上汽大众,途观L,2018款 330TSI 自动 两驱 豪华版,上汽大众途观L备胎盖板出现断裂的现象,"H168,",2020-09-20,信息审核
524256,众泰汽车,众泰T600,2014款 1.5T 手动 豪华型,众泰T600漆面起泡开裂大灯掉皮严重,"H81,H220,",2020-09-20,信息审核
524255,比亚迪,速锐,2014款 1.5L 手动 尊贵型,比亚迪速锐空调无暖风厂家无解决,"H101,",2020-09-20,厂家受理
524253,东风雪铁龙,雪铁龙C4L,2013款 1.6THP 自动 劲智版,东风雪铁龙C4L方向盘晃动希望厂家处理,"D265,",2020-09-20,信息审核
